Quarter To Three,,,,,,,,,,
0,,,,,,,,,,
 N , N , N , N ,,,,,,,
 0:min . 0:minmaj7 0:min7 , 3_maj . . . , 3_min/11 . 5_min/b3 . , 8_9 . 8_7 . ,,,,,,,
 1_maj . 1_aug . , 6_maj . 0:7/5 0:7 , 3_min . 11_maj/3 . , 8_maj . . . ,,,,,,,
 1_maj . 5_min 4_min , 3_min ," 8_7(b9,b13) ",,,,,,,,
 1_maj . 1_aug . , 1_maj . . . ,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Almost by Being In Love,,,,,,,,,,
 1_min11 , 1_min11 , 1_min11 , 1_min11 . 9_maj 11_maj ,,,,,,,
 1_min11 , 1_min11 , 1_min11 , 1_min11 . 9_maj 11_maj ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 . 9_maj7 8_min7 ,,,,,,,
 6_min7 8_min7 , 9_maj7 . 9_maj 11_maj , 1_min11 , 1_min11 ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 . 9_maj7 8_min7 ,,,,,,,
 6_min7 8_min7 , 9_maj7 11_maj , 1_min11 , 1_min11 ,,,,,,,
 3_hdim7 , 8_sus4(b7) 8_7 , 1_maj9 , 1_sus4 1_maj ,,,,,,,
 1_min7 , 9_9 , 3_hdim7 , 8_7 . 9_maj 11_maj ,,,,,,,
 1_min7 , 1_min7 , 1_min7 , 1_min7 . 9_maj7 8_min7 ,,,,,,,
 6_min7 8_min7 , 9_maj7 . 9_maj 11_maj ,,,,,,,,,
 1_min11 , 1_min11 , 1_min11 , 1_min11 . 9_maj 11_maj ,,,,,,,
 1_min9 , 1_min9 , 1_min9 , 1_min9 . 9_maj7 8_min7 ,,,,,,,
 6_min7 , (6/4) 11_maj , 1_min11 , 1_min11 ,,,,,,,
 3_hdim7 , 8_sus4(b7) 8_7 , 1_maj9 , 1_maj ,,,,,,,
 1_min7 , 9_9 , 3_hdim7 , 8_7 . 6_min7 11_maj ,,,,,,,
 1_min9 , 1_min9 , 1_min9 , 1_min9 . 9_maj 8_min ,,,,,,,
 6_min7 8_min7 , 9_maj7 . 9_maj 11_maj , 1_min11 , 1_min11 ,,,,,,,
 1_min11 , 1_min11 , 1_min11 , 1_min11 . 9_maj 11_maj , x4,,,,,,
0,,,,,,,,,,
 12_maj , 12_maj , 12_7 , 5_maj ,,,,,,,
 2_min7 7_7 , 2_min7 7_7 , 11_dim 12_maj , 8_7 ,,,,,,,
 1_maj , 1_maj , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_7 , 6_maj ,,,,,,,
 8_7 , 8_7 , 12_dim 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
 12_maj , 12_maj , 12_7 , 5_maj ,,,,,,,
 2_min7 7_7 , 2_min7 7_7 , 11_dim 12_maj , 8_7 ,,,,,,,
 1_maj , 1_maj , 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_7 , 6_maj ,,,,,,,
 8_7 , 8_7 , 12_dim 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Baby Come Back,,,,,,,,,,
 8_1 , 5_1 ,,,,,,,,,
 6_maj/9 , 5_min7 ,,,,,,,,,
 6_maj/9 , 5_min7 ,,,,,,,,,
 6_maj/9 , 5_min7 0:min , &pause ,,,,,,,,
 6_maj/9 , 5_min7 , x3,,,,,,,,
 6_maj/9 , 0:sus4(b7) 0:7 ,,,,,,,,,
 6_maj7 , 5_min7 0:min ,,,,,,,,,
 3_min7 5_min7 , 0:min ,,,,,,,,,
 6_maj7 , 5_min7 0:min ,,,,,,,,,
 3_min7 5_min7 , 0:min 11_maj7 ,,,,,,,,,
 6_maj/9 , 5_min7 ,,,,,,,,,
 6_maj/9 , 5_min7 , x3,,,,,,,,
 6_maj/9 , 0:sus4(b7) 0:7 ,,,,,,,,,
 6_maj7 , 5_min7 0:min ,,,,,,,,,
 3_min7 5_min7 , 0:min ,,,,,,,,,
 6_maj7 , 5_min7 0:min ,,,,,,,,,
 3_min7 5_min7 , 0:min 11_maj7 ,,,,,,,,,
 8_sus4(b7) 8_7 ,,,,,,,,,,
 4_maj7 , 11_maj7 , x2,,,,,,,,
 4_maj7 , 3_min7 8_min ,,,,,,,,,
 8_sus4(b7) , 8_sus4(b7) . , &pause ,,,,,,,,
 6_maj7 , 5_min7 0:min ,,,,,,,,,
 3_min7 5_min7 , 0:min ,,,,,,,,,
 6_maj7 , 5_min7 0:min ,,,,,,,,,
 3_min7 5_min7 , 0:min ,,,,,,,,,
 3_min7 5_min7 , 0:min ,,,,,,,,,
 6_maj7 , 5_min7 0:min ,,,,,,,,,
 3_min7 5_min7 , 0:min ,,,,,,,,,
 6_maj7 , 5_min7 0:min ,", fadeout",,,,,,,,
 3_min7 5_min7 , 0:min ,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Beat It,,,,,,,,,,
 5_1 , 5_1 , 2_1 , 2_1 ,,,,,,,
 5_1 , 5_1 ,,,,,,,,,
 12_1 , 12_1 , N , N ,,,,,,,
 N , N , N , N ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 1_min , 1_min , 1_min ,,,,,,,
 1_min , 1_min , 1_min , 1_min ,,,,,,,
 1_min , 1_min , 1_min , 1_min ,,,,,,,
 1_min , 1_min , 1_min , 1_min ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 C9_maj , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
 1_min , 11_maj , 1_min , 11_maj ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Bongo Stomp,,,,,,,,,,
 1_maj . 0:min . , 6_maj . 8_maj . , 1_maj . 0:min . , 6_maj . 8_maj . ,,,,,,,
 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
 6_maj . . . , 6_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
 8_maj . 6_maj . , 1_maj . . . , 8_maj . 6_maj . , 1_maj . . . ,,,,,,,
 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
 6_maj . . . , 6_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
 8_maj . 6_maj . , 1_maj . . . , 8_maj . 6_maj . , 1_maj . . . ,,,,,,,
 6_maj . . . , 6_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
 6_maj . . . , 6_maj . . . , 8_maj . 7_maj . , 8_maj . . . ,,,,,,,
 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
 6_maj . . . , 6_maj . . . , 1_maj . . . , 1_maj . . . ,,,,,,,
 8_maj . 6_maj . , 1_maj . . . , 8_maj . 6_maj . , 1_maj . . . ,,,,,,,
 6_maj . . . , 8_maj . . . ,,,,,,,,,
 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . , 1_maj . . . ,,,
0,,,,,,,,,,
0,,,,,,,,,,
Dance Away,,,,,,,,,,
 N , N , N , N ,,,,,,,
 8_maj , 8_maj/b7 , 5_min , 3_maj ,,,,,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 8_maj , 8_maj ,,,,,,,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 11_maj , 3_maj , 11_maj ,,,,,,,
 4_maj , 4_sus4/b7 , 4_sus4/b7 , 4_sus4/b7 ,,,,,,,
 N , N , N , N ,,,,,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj , 3_maj , 12_min , 8_maj ,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Dance Away,,,,,,,,,,
 N , N , N , N ,,,,,,,
 8_maj , 8_maj/b7 , 5_min , 3_maj ,,,,,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 8_maj , 8_maj ,,,,,,,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 11_maj , 3_maj , 11_maj ,,,,,,,
 4_maj , 4_sus4/b7 , 4_sus4/b7 , 4_sus4/b7 ,,,,,,,
 N , N , N , N ,,,,,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj ,,,
 1_maj , 1_maj , 0:maj , 0:maj , 6_maj , 8_maj , 6_maj , 8_maj , 6_maj , 8_maj , 8_maj 
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj ,,,,,,,
 3_maj , 12_min , 8_maj , 0:maj , 3_maj , 12_min , 8_maj ,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Don't stand so close to me,,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj 7_maj ,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Don't stand so close to me,,,,,,,,,,
 1_maj , 1_maj ,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,
 12_maj/5 7_maj , 12_maj/5 7_maj ,,,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 1_maj , 1_maj , 5_min , 5_min ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj ,,,,,,,
 12_maj 7_maj , 12_maj 7_maj , 9_min7 9_min7/b7 , 12_maj/5 7_maj , 12_maj 7_maj ,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Feel Like Making Love,,,,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Feel Like Making Love,,,,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Feel Like Making Love,,,,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 11_7 0:7 ,,,,,,,
 3_min9 ," 8_sus4(b7,9) ", 1_maj7 , 7_7(#11) ,,,,,,,
 6_maj7 , 5_min7 , 3_min7 , 0:min ,,,,,,,
 6_maj7 , 5_min7 , 11_7(#11) , 0:min , 3_7 ,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
For The Good Times,,,,,,,,,,
 N . 6_maj 5_min7 ," 8_sus4(b7,9,13) ", 6_7(b9) , 1_maj6 , 1_maj6 ,,,,,,
 3_min7 , 8_7 , 1_maj 1_maj6 , 1_maj7 1_maj6 ,,,,,,,
 3_min7 , 8_7 , 1_maj 1_maj6 , 1_maj7 , 1_maj ,,,,,,
 6_maj , 8_7 , 1_maj , 1_maj ,,,,,,,
 6_maj , 3_min7 , 8_7 ," 8_sus4(b7,9) ",,,,,,,
 1_maj7 , 1_maj7 , 8_maj , 8_7 ,,,,,,,
 8_7 , 8_7 , 1_maj , 3_min7 8_7 ,,,,,,,
 1_maj 1_maj9 , 3_min7 1_7 , 6_maj9 6_maj6 , 6_min(9) 6_min ,,,,,,,
 8_7 ," 3_sus4(b7,9) ", 8_7 , 8_7(b9) ,,,,,,,
 1_maj7 ," 8_sus4(b7,9) ", 1_maj , 1_maj ,,,,,,,
 3_min7 , 8_7 , 1_maj 1_maj7 , 1_maj6 1_maj ,,,,,,,
 3_min7 , 8_sus4(b7) 8_7 , 1_maj 1_maj7 , 1_maj6 1_maj ,,,,,,,
 6_maj , 8_7 , 1_maj 1_maj7 , 1_maj6 1_maj ,,,,,,,
 6_maj , 3_min7 , 8_7 ," 8_sus4(b7,9) ",,,,,,,
 1_maj7 , 1_maj7 , 8_maj , 8_7 ,,,,,,,
 8_7 , 8_7 , 1_maj , 3_min7 8_7 ,,,,,,,
 1_maj 1_maj9 , 3_min7 1_7 , 6_maj9 6_maj6 , 6_min(9) 6_min ,,,,,,,
 8_7 ," 3_sus4(b7,9) ", 8_7 , 8_7(b9) ,,,,,,,
 1_maj7 ," 8_sus4(b7,9) ", 1_maj ," 8_sus4(b7,9) ", 1_maj ,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
For The Good Times,,,,,,,,,,
 N . 6_maj 5_min7 ," 8_sus4(b7,9,13) ", 6_7(b9) , 1_maj6 , 1_maj6 ,,,,,,
 3_min7 , 8_7 , 1_maj 1_maj6 , 1_maj7 1_maj6 ,,,,,,,
 3_min7 , 8_7 , 1_maj 1_maj6 , 1_maj7 , 1_maj ,,,,,,
 6_maj , 8_7 , 1_maj , 1_maj ,,,,,,,
 6_maj , 3_min7 , 8_7 ," 8_sus4(b7,9) ",,,,,,,
 1_maj7 , 1_maj7 , 8_maj , 8_7 ,,,,,,,
 8_7 , 8_7 , 1_maj , 3_min7 8_7 ,,,,,,,
