Come Together,,,,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 10_min, 6_maj, 10_min, 6_maj,,,,,,,
 10_min, 6_maj, 5_min, 8_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Along Comes A Woman,,,,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 10_min, 6_maj, 10_min, 6_maj,,,,,,,
 10_min, 6_maj, 5_min, 8_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 10_min, 6_maj, 10_min, 6_maj,,,,,,,
 10_min, 6_maj, 5_min, 8_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Along Comes A Woman,,,,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 10_min, 6_maj, 10_min, 6_maj,,,,,,,
 10_min, 6_maj, 5_min, 8_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 8_maj , 8_maj , 8_maj , 8_maj ,,,,,,,
 10_min, 6_maj, 10_min, 6_maj,,,,,,,
 10_min, 6_maj, 5_min, 8_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 8_11 , 8_11 , 8_11 , 8_11 ,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 10_min, 10_min,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 6_maj, 1_maj,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Annie's Song,,,,,,,,,,
 1_maj, 1_sus4 , 1_maj, 1_sus4 , x2,,,,,,
 6_maj, 8_maj, 10_min, 6_maj,,,,,,,
 1_maj, 5_min, 10_min, 8_maj,,,,,,,
 6_maj, 5_min, 3_min, 6_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 6_maj, 8_maj, 10_min, 6_maj,,,,,,,
 1_maj, 5_min, 10_min, 8_maj,,,,,,,
 6_maj, 5_min, 3_min, 8_maj,,,,,,,
 1_maj, 1_sus4 , 1_maj, 1_sus4 ,,,,,,,
 6_maj, 8_maj, 10_min, 6_maj,,,,,,,
 1_maj, 5_min, 10_min, 8_maj,,,,,,,
 6_maj, 5_min, 3_min, 6_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 6_maj, 8_maj, 10_min, 6_maj,,,,,,,
 1_maj, 5_min, 10_min, 8_maj,,,,,,,
 6_maj, 5_min, 3_min, 8_maj,,,,,,,
 1_maj, 1_sus4 , 1_maj, 1_sus4 ,,,,,,,
 6_maj, 8_maj, 10_min, 6_maj,,,,,,,
 1_maj, 5_min, 10_min, 8_maj,,,,,,,
 6_maj, 5_min, 3_min, 6_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 6_maj, 8_maj, 10_min, 6_maj,,,,,,,
 1_maj, 5_min, 10_min, 8_maj,,,,,,,
 6_maj, 5_min, 3_min, 8_maj,,,,,,,
 1_maj, 1_sus4 , 1_maj, 1_sus4 ,,,,,,,
 6_maj, 8_maj, 10_min, 6_maj,,,,,,,
 1_maj, 5_min, 10_min, 8_maj,,,,,,,
 6_maj, 5_min, 3_min, 6_maj,,,,,,,
 8_maj, 8_maj, 8_maj, 8_maj,,,,,,,
 6_maj, 8_maj, 10_min, 10_min,,,,,,,
 1_maj, 5_min, 10_min, 8_maj,,,,,,,
 6_maj, 5_min, 3_min, 8_maj,,,,,,,
 1_maj, 1_sus4 , 1_maj, 1_sus4 ,,,,,,,
 1_maj, 1_sus4 , 1_maj, 1_sus4 ,,,,,,,
 1_maj,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Another Brick In The Wall (Part II),,,,,,,,,,
0,,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 6_maj, 6_maj,,,,,,,
 6_maj, 6_maj, 1_min, 1_min,,,,,,,
 4_maj, 12:maj, 1_min, 1_min,,,,,,,
 4_maj, 12:maj, 1_min, N ,,,,,,,
 N , N , 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 6_maj, 6_maj,,,,,,,
 6_maj, 6_maj, 1_min, 1_min,,,,,,,
 4_maj, 12:maj, 1_min, 1_min,,,,,,,
 4_maj, 12:maj, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 12:maj, 12:maj, 1_min, 1_min,,,,,,,
 12:maj, 12:maj,,,,,,,,,
 1_min, 1_min, 6_7, 6_7,,,,,,,
 1_min, 1_min, 6_7, 6_7,,,,,,,
 1_min, 1_min," 1_sus4(,9) "," 1_sus4(,9) ",,,,,,,
 9_maj, 9_maj," 1_sus4(,9) "," 1_sus4(,9) ",,,,,,,
 1_1 , N , N , N ,,,,,,,
 N , N , N , N ,,,,,,,
 N , N ,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
 11maj, 11maj,117, 5_maj,,,,,,,
 2_min, 2_min, 12:dim 11maj, 8_7 ,,,,,,,
 1_maj, 1_maj, 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 1_maj, 1_maj,,,,,,,
 11maj, 11maj,117, 5_maj,,,,,,,
 2_min, 2_min, 12:dim 11maj, 8_7 ,,,,,,,
 1_maj, 1_maj, 8_7 , 8_7 ,,,,,,,
 8_7 , 8_7 , 1_maj, 1_maj,,,,,,,
Ask Me,,,,,,,,,,
 8_maj,,,,,,,,,,
 1_maj, 12:maj, 3_min, 3_min,,,,,,,
 3_min, 3_min, 1_maj, 1_maj,,,,,,,
 10_min, 5_min, 2_dim , 3_min,,,,,,,
 6_min, 4_maj,,,,,,,,,
 1_maj, 12:maj, 3_min, 3_min,,,,,,,
 1_maj, 12:maj, 3_min, 3_min,,,,,,,
 3_min, 3_min, 1_maj, 1_maj,,,,,,,
 10_min, 5_min, 2_dim , 3_min,,,,,,,
 6_min, 4_maj,,,,,,,,,
 1_maj, 12:maj, 3_min, 3_min,,,,,,,
 1_maj, 3_min, 1_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Ask Me,,,,,,,,,,
 8_maj,,,,,,,,,,
 1_maj, 12:maj, 3_min, 3_min,,,,,,,
 3_min, 3_min, 1_maj, 1_maj,,,,,,,
 10_min, 5_min, 2_dim , 3_min,,,,,,,
 6_min, 4_maj,,,,,,,,,
 1_maj, 12:maj, 3_min, 3_min,,,,,,,
 1_maj, 12:maj, 3_min, 3_min,,,,,,,
 3_min, 3_min, 1_maj, 1_maj,,,,,,,
 10_min, 5_min, 2_dim , 3_min,,,,,,,
 6_min, 4_maj,,,,,,,,,
 1_maj, 12:maj, 3_min, 3_min,,,,,,,
 1_maj, 3_min, 1_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Baby Can I Hold You ,,,,,,,,,,
 1_maj, 8_sus4 8_7 , x2,,,,,,,,
 1_maj, 8_sus4 8_7 ,,,,,,,,,
 3_min, 8_sus4 8_7 ,,,,,,,,,
 1_maj, 8_sus4 8_7 ,,,,,,,,,
 3_min, (2, 8_maj, 8_sus4 8_maj,,,,,,,
 1_maj, 8_sus4 8_7 ,,,,,,,,,
 3_min, 8_sus4 8_7 ,,,,,,,,,
 1_maj, 8_sus4 8_7 ,,,,,,,,,
 3_min, (2, 8_maj, 8_sus4 8_maj,,,,,,,
 1_maj, 3_min, 1_maj, 3_min,,,,,,,
 10_min, 8_maj,,,,,,,,,
 1_maj, 3_min,,,,,,,,,
 1_maj, 8_sus4 8_7 ,,,,,,,,,
 3_min, 8_sus4 8_7 ,,,,,,,,,
 1_maj, 8_sus4 8_7 ,,,,,,,,,
 3_min, (2, 8_maj, 8_sus4 8_maj,,,,,,,
 1_maj, 3_min, 1_maj, 3_min,,,,,,,
 10_min, 8_maj,,,,,,,,,
 1_maj, 3_min, 1_maj, 3_min,,,,,,,
 10_min, 8_maj,,,,,,,,,
 1_maj, 3_min, 1_maj, 3_min,,,,,,,
 1_maj,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Baby You're Right,,,,,,,,,,
 1_7 , 1_7 , 1_7 , 8_7 ,,,,,,,
 1_7 , 6_7 3_7 , 6_7 3_7 , 6_7 3_7 , 6_7 3_7 , 6_7 3_7 ,,,,,
 1_7 , 6_7 3_7 , 1_7 8_7 , 1_7 8_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 8_7 ,,,,,,,
 1_7 , 6_7 3_7 , 6_7 3_7 , 6_7 3_7 , 6_7 3_7 , 6_7 3_7 ,,,,,
 1_7 , 6_7 3_7 , 1_7 8_7 , 1_7 8_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 8_7 ,,,,,,,
 1_7 , 6_7 3_7 , 6_7 3_7 , 6_7 3_7 , 6_7 3_7 , 6_7 3_7 ,,,,,
 1_7 , 6_7 3_7 , 1_7 8_7 , 1_7 8_7 ,,,,,,,
 6_7 3_7 , 6_7 3_7 , 6_7 3_7 , 6_7 3_7 ,,,,,,,
 6_7 3_7 , 6_7 3_7 ,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Back in the High Life Again,,,,,,,,,,
 1_maj, 1_sus4 , 1_maj, 1_sus4 ,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, ->,,,,,,,
 1_maj, 1_sus4 , 1_maj, 1_sus4 ,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 8_maj, 6_maj, (2,,,,,,,
 1_maj, 8_sus4 ,,,,,,,,,
 1_maj, 6_maj, 4_maj, 9_maj,,,,,,,
 1_maj, 6_maj, 4_maj, 9_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 8_maj, 6_maj, (2,,,,,,,
 1_maj, 8_sus4 ,,,,,,,,,
 1_maj, 1_sus4 , 1_maj, 1_sus4 ,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Bad Moon Rising,,,,,,,,,,
0,,,,,,,,,,
 1_maj, 8_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 8_maj, 1_maj, 1_maj, 1_maj, 8_maj, 1_maj, 1_maj,,,
 1_maj, 8_maj, 1_maj, 1_maj, 1_maj, 8_maj, 1_maj, 1_maj,,,
 6_maj, 6_maj, 1_maj, 1_maj, 8_maj, 6_maj, 1_maj, 1_maj,,,
 1_maj, 8_maj, 1_maj, 1_maj, 1_maj, 8_maj, 1_maj, 1_maj,,,
 1_maj, 8_maj, 1_maj, 1_maj, 1_maj, 8_maj, 1_maj, 1_maj,,,
 6_maj, 6_maj, 1_maj, 1_maj, 8_maj, 6_maj, 1_maj, 1_maj,,,
 1_maj, 8_maj, 1_maj, 1_maj, 1_maj, 8_maj, 1_maj, 1_maj,,,
 6_maj, 6_maj, 1_maj, 1_maj, 8_maj, 6_maj, 1_maj, 1_maj,,,
 1_maj, 8_maj, 1_maj, 1_maj, 1_maj, 8_maj, 1_maj, 1_maj,,,
 1_maj, 8_maj, 1_maj, 1_maj, 1_maj, 8_maj, 1_maj, 1_maj,,,
 6_maj, 6_maj, 1_maj, 1_maj, 8_maj, 6_maj, 1_maj, 1_maj,,,
 6_maj, 6_maj, 1_maj, 1_maj, 8_maj, 6_maj, 1_maj, 1_maj, ,,
0,,,,,,,,,,
0,,,,,,,,,,
Better Things,,,,,,,,,,
 1_maj, 1_7, 6_maj, 8_maj,,,,,,,
 1_maj, 1_7, 6_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 8_maj,,,,,,,
 1_maj, 5_7 , 6_maj, 8_maj,,,,,,,
 1_maj, 5_7 , 6_maj, 8_maj,,,,,,,
 10_min, 10_min, 10_min, 3_7 ,,,,,,,
 8_maj, 6_maj,,,,,,,,,
 1_maj, 5_7 , 6_maj, 8_maj,,,,,,,
 1_maj, 5_7 , 6_maj, 8_maj,,,,,,,
 10_min, 10_min, 10_min, 3_7 ,,,,,,,
 8_maj, 6_maj,,,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 8_maj,,,,,,,
 1_maj, 5_7 , 6_maj, 8_maj,,,,,,,
 1_maj, 5_7 , 6_maj, 8_maj,,,,,,,
 10_min, 10_min, 10_min, 3_7 ,,,,,,,
 8_maj, 6_maj,,,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 6_maj, 1_maj, 6_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 8_maj,,,,,,,
 1_maj, 1_maj, 6_maj, 8_maj, 8_maj,,,,,,
 8_maj,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Big Yellow Taxi,,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 6_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 6_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 1_sus4 , 1_maj, 8_sus4 ,,,,,,,
 6_maj, 6_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 6_maj, 8_sus4 , 8_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 6_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 6_maj, 1_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 6_maj, 6_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Blow Away,,,,,,,,,,
 1_maj, 10_min, 5_min, 8_sus4 8_maj,,,,,,,
 1_maj, 10_min, 5_min, 8_sus4 8_maj, 8_sus4 ,,,,,,
 1_maj, 10_min, 5_min, 8_sus4 8_maj,,,,,,,
 1_maj, 10_min, 5_min, 8_sus4 8_maj, 8_sus4 ,,,,,,
 1_maj, 5_min, 1_maj, 12:maj,,,,,,,
 5_min, 5_min, 4_maj, 8_sus4 8_maj,,,,,,,
 1_maj, 5_min, 1_maj, 12:maj,,,,,,,
 5_min, 5_min, 4_maj, 6_maj,,,,,,,
 4_maj, 8_sus4 , 8_sus4 ,,,,,,,,
 1_maj, 10_min, 5_min, 8_sus4 8_maj,,,,,,,
 1_maj, 10_min, 5_min, 8_sus4 8_maj, 8_sus4 ,,,,,,
 1_maj, 5_min, 1_maj, 12:maj,,,,,,,
 5_min, 5_min, 4_maj, 8_sus4 8_maj,,,,,,,
 1_maj, 5_min, 1_maj, 12:maj,,,,,,,
 5_min, 5_min, 4_maj, 6_maj,,,,,,,
 4_maj, 8_sus4 , 8_sus4 ,,,,,,,,
 1_maj, 10_min, 5_min, 8_sus4 8_maj,,,,,,,
 1_maj, 10_min, 5_min, 8_sus4 8_maj, 8_sus4 ,,,,,,
 1_maj, 5_min, 1_maj, 12:maj,,,,,,,
 5_min, 5_min, 4_maj, 8_sus4 8_maj,,,,,,,
 1_maj, 5_min, 1_maj, 12:maj,,,,,,,
 5_min, 5_min, 4_maj, 6_maj,,,,,,,
 4_maj, 8_sus4 , 8_sus4 ,,,,,,,,
 1_maj, 5_min, 1_maj, 12:maj,,,,,,,
 5_min, 5_min, 4_maj, 8_sus4 8_maj,,,,,,,
 1_maj, 5_min, 1_maj, 12:maj,,,,,,,
